IME                           DRZAVA              GIANT-SLALOM             SUPER-G                  SLALOM                   COMBINED                 DOWNHILL
Maria Höfl-Riesch             Germany             ('dnf', 74)              ('1:26.07', 2)           ('1:45.73', 4)           ('2:34.62', 1)           ('1:42.74', 13)          
Nicole Hosp                   Austria             did not participate      ('1:26.18', 3)           did not participate      ('2:35.02', 2)           ('1:42.62', 9)           
Julia Mancuso                 United States       ('dnf', 77)              ('1:27.04', 8)           did not participate      ('2:35.15', 3)           ('1:42.56', 8)           
Tina Maze                     Slovenia            ('2:36.87', 1)           ('1:26.28', 5)           ('1:46.25', 8)           ('2:35.25', 4)           ('1:41.57', 1)           
Dominique Gisin               Switzerland         ('2:39.58', 10)          ('dnf', 39)              did not participate      ('2:36.12', 5)           ('1:41.57', 1)           
Ragnhild Mowinckel            Norway              ('dnf', 68)              ('1:28.53', 19)          did not participate      ('2:36.15', 6)           ('1:44.43', 27)          
Michaela Kirchgasser          Austria             ('2:39.81', 12)          did not participate      ('dnf', 50)              ('2:36.41', 7)           did not participate      
Anna Fenninger                Austria             ('2:36.94', 2)           ('1:25.52', 1)           did not participate      ('2:36.44', 8)           ('dnf', 40)              
Šárka Strachová               Czech Republic      ('dnf', 82)              did not participate      ('1:47.39', 10)          ('2:36.61', 9)           did not participate      
Maruša Ferk                   Slovenia            ('dnf', 69)              ('1:28.19', 16)          ('1:50.16', 19)          ('2:36.89', 10)          ('1:43.24', 18)          
Federica Brignone             Italy               ('dnf', 76)              did not participate      ('dnf', 54)              ('2:37.62', 11)          did not participate      
Denise Feierabend             Switzerland         did not participate      did not participate      ('1:49.47', 17)          ('2:37.71', 12)          did not participate      
Sara Hector                   Sweden              did not participate      ('1:28.71', 21)          did not participate      ('2:37.85', 13)          ('1:44.23', 25)          
Elena Yakovishina             Russia              did not participate      ('1:29.38', 24)          did not participate      ('2:38.88', 14)          ('1:44.45', 28)          
Greta Small                   Australia           ('2:49.66', 41)          ('dnf', 45)              ('1:57.60', 31)          ('2:40.30', 15)          ('1:44.79', 29)          
Edit Miklós                   Hungary             ('2:46.59', 34)          ('1:27.87', 15)          did not participate      ('2:41.61', 16)          ('1:42.28', 7)           
Karolina Chrapek              Poland              ('2:45.81', 33)          ('dnf', 44)              ('dnf', 80)              ('2:41.80', 17)          ('1:46.90', 33)          
Mireia Gutiérrez              Andorra             ('dnf', 85)              did not participate      ('dnf', 75)              ('2:42.30', 18)          did not participate      
Klára Křížová                 Czech Republic      did not participate      ('1:28.30', 17)          did not participate      ('2:42.40', 19)          ('1:43.47', 21)          
Macarena Simari Birkner       Argentina           ('2:47.85', 39)          ('1:31.10', 26)          ('1:56.51', 27)          ('2:43.93', 20)          ('1:46.44', 32)          
Anna Berecz                   Hungary             ('2:52.04', 47)          ('1:33.07', 28)          ('2:03.22', 34)          ('2:48.69', 21)          ('1:50.97', 35)          
Ania Monica Caill             Romania             ('2:55.80', 50)          ('1:33.73', 30)          did not participate      ('2:53.95', 22)          ('dnf', 42)              
Daniela Merighetti            Italy               did not participate      ('dnf', 33)              did not participate      ('dnf', 23)              ('1:41.84', 4)           
Chemmy Alcott                 Great Britain       did not participate      ('1:29.14', 23)          did not participate      ('dnf', 24)              ('1:43.43', 19)          
Elena Fanchini                Italy               did not participate      did not participate      did not participate      ('dnf', 25)              ('1:42.70', 12)          
Francesca Marsaglia           Italy               ('2:39.92', 16)          ('dnf', 42)              did not participate      ('dnf', 26)              did not participate      
Lotte Smiseth Sejersted       Norway              ('2:41.45', 23)          ('1:27.80', 14)          did not participate      ('dnf', 27)              ('1:42.01', 6)           
Lara Gut                      Switzerland         ('2:38.64', 9)           ('1:26.25', 4)           did not participate      ('dnf', 28)              ('1:41.67', 3)           
Elisabeth Görgl               Austria             ('2:39.64', 11)          ('dnf', 40)              did not participate      ('dnf', 29)              ('1:42.82', 16)          
Marie-Michèle Gagnon          Canada              ('dnf', 75)              ('dnf', 35)              ('1:47.37', 9)           ('dnf', 30)              did not participate      
Jana Gantnerová               Slovakia            did not participate      did not participate      ('dnf', 55)              ('dnf', 31)              did not participate      
Leanne Smith                  United States       did not participate      ('1:28.38', 18)          did not participate      ('dnf', 32)              did not participate      
Ilka Štuhec                   Slovenia            ('2:44.85', 31)          ('1:27.69', 13)          did not participate      ('dnf', 33)              ('1:42.65', 10)          
Kristína Saalová              Slovakia            ('dnf', 86)              ('dnf', 49)              did not participate      ('dnf', 34)              ('1:45.98', 31)          
Marianne Kaufmann-Abderhalden Switzerland         did not participate      did not participate      did not participate      ('dnf', 35)              ('dnf', 39)              
Noelle Barahona               Chile               ('2:49.86', 42)          did not participate      ('dnf', 78)              ('dnf', 36)              ('1:49.70', 34)          
Laurenne Ross                 United States       did not participate      ('dnf', 37)              did not participate      ('dnf', 37)              ('1:42.68', 11)          
Stacey Cook                   United States       did not participate      ('dnf', 46)              did not participate      ('dnf', 38)              ('1:43.05', 17)          
Alexandra Coletti             Monaco              did not participate      did not participate      did not participate      ('dnf', 39)              ('dnf', 41)              
Fabienne Suter                Switzerland         ('2:42.06', 26)          ('1:26.89', 7)           did not participate      did not participate      ('1:41.94', 5)           
